Subject;Session;SACondition;"SACondition(1=ACC; 0 = SPD)";TrialNum;Difficulty(1 hard to 6 easiest);"ProbeChoice.ACC (0 = wrong; 1 = correct)";ProbeChoice.RT;ProbeConf.RESP;ConfResp;ProbeConf.RT
1;1;Accuracy;1;1;5;1;1558;d;50;1284
1;1;Accuracy;1;2;5;1;1223;f;60;1460
1;1;Accuracy;1;3;5;1;2070;k;100;2308
1;1;Accuracy;1;4;6;1;1334;h;80;2516
1;1;Accuracy;1;5;4;1;981;j;90;2676
1;1;Accuracy;1;6;4;1;1175;h;80;1732
1;1;Accuracy;1;7;1;1;1463;f;60;1156
1;1;Accuracy;1;8;5;1;1303;d;50;1412
1;1;Accuracy;1;9;2;0;1303;f;60;1780
1;1;Accuracy;1;10;3;0;1703;d;50;1140
1;1;Accuracy;1;11;6;1;887;j;90;1092
1;1;Accuracy;1;12;6;1;1318;k;100;1636
1;1;Accuracy;1;13;3;0;823;j;90;1268
1;1;Accuracy;1;14;3;1;887;g;70;1188
1;1;Accuracy;1;15;5;1;807;k;100;932
1;1;Accuracy;1;16;1;0;999;j;90;2404
1;1;Accuracy;1;17;1;1;1015;f;60;1060
1;1;Accuracy;1;18;5;1;759;d;50;1108
1;1;Accuracy;1;19;3;1;1286;g;70;1348
1;1;Accuracy;1;20;6;1;1191;h;80;1828
1;1;Accuracy;1;21;5;1;1719;h;80;2164
1;1;Accuracy;1;22;3;1;2199;j;90;388
1;1;Accuracy;1;23;6;1;1367;k;100;580
1;1;Accuracy;1;24;6;1;1863;j;90;1220
1;1;Accuracy;1;25;2;1;2679;d;50;1828
1;1;Accuracy;1;26;3;1;1367;k;100;1684
1;1;Accuracy;1;27;4;1;743;k;100;964
1;1;Accuracy;1;28;2;0;2119;k;100;356
1;1;Accuracy;1;29;1;0;855;k;100;1604
1;1;Accuracy;1;30;6;1;1223;k;100;1364
1;1;Accuracy;1;31;2;1;1367;h;80;1043
1;1;Accuracy;1;32;1;1;1143;h;80;1636
1;1;Accuracy;1;33;2;1;1047;j;90;820
1;1;Accuracy;1;34;4;0;1559;d;50;1107
1;1;Accuracy;1;35;3;1;1463;j;90;1412
1;1;Accuracy;1;36;2;1;1047;k;100;772
1;1;Accuracy;1;37;1;1;1447;h;80;980
1;1;Accuracy;1;38;6;1;919;k;100;644
1;1;Accuracy;1;39;2;0;2583;d;50;1187
1;1;Accuracy;1;40;3;1;2391;d;50;1268
1;1;Accuracy;1;41;5;1;1623;f;60;1396
1;1;Accuracy;1;42;4;1;839;k;100;1172
1;1;Accuracy;1;43;6;1;983;k;100;596
1;1;Accuracy;1;44;1;1;999;d;50;1076
1;1;Accuracy;1;45;4;1;1719;f;60;1716
1;1;Accuracy;1;46;4;1;823;k;100;1204
1;1;Accuracy;1;47;1;1;1623;d;50;964
1;1;Accuracy;1;48;6;1;967;j;90;1188
1;1;Accuracy;1;49;6;1;1447;h;80;3172
1;1;Accuracy;1;50;1;0;1959;d;50;1044
1;1;Accuracy;1;51;3;1;999;j;90;1348
1;1;Accuracy;1;52;1;1;1399;d;50;1060
1;1;Accuracy;1;53;4;1;1783;d;50;1460
1;1;Accuracy;1;54;4;1;1095;d;50;1108
1;1;Accuracy;1;55;3;0;2103;d;50;948
1;1;Accuracy;1;56;2;1;1783;d;50;1347
1;1;Accuracy;1;57;2;1;1911;d;50;1076
