Subj_idx,Stimulus,Response,Confidence,RT_decConf,Contrast
1,2,2,57.1,0.82533,2
1,2,2,69.4,0.61124,1
1,2,2,56.2,0.79718,2
1,1,2,70.2,0.9927,2
1,1,2,62.1,0.85172,1
1,1,1,59.4,0.77177,1
1,2,2,62.5,0.73503,2
1,1,1,79.6,0.9092,3
1,1,1,62.3,0.73934,1
1,1,1,64.9,0.70447,2
1,2,1,71.7,0.77299,1
1,2,2,93.3,0.76963,3
1,2,2,92.1,0.81493,3
1,2,2,58.9,0.77508,1
1,1,1,63.4,0.64356,1
1,2,2,69.1,0.78059,2
1,2,2,72.5,0.64016,2
1,1,1,78.9,0.64885,3
1,1,2,100,0.6815,1
1,1,1,89.2,1.2016,2
1,2,2,84.7,0.76546,2
1,2,2,50.1,1.0896,1
1,1,1,76.8,0.77519,3
1,2,2,75,0.73111,2
1,2,2,57.9,0.91243,3
1,2,2,59.5,0.6848,3
1,2,2,77.4,0.68391,2
1,2,2,64.4,0.64416,1
1,1,1,77.2,0.71894,1
1,1,2,57.6,0.98109,3
1,2,2,72.5,0.59894,3
1,1,1,85.5,0.75342,3
1,1,1,73.3,0.63138,3
1,1,1,75.5,0.84873,2
1,2,2,80.7,0.63355,3
1,1,2,51.1,1.3953,1
1,1,1,65.1,0.66158,3
1,2,2,66.8,1.0043,2
1,2,2,56.3,0.95843,2
1,2,2,63.5,0.79548,2
1,1,2,50.1,1.1102,2
1,1,2,50.1,0.84441,3
1,2,2,53.8,1.4275,3
1,2,2,77.1,0.64583,3
1,1,1,52.8,1.2696,2
1,1,1,82.1,0.71779,2
1,1,2,100,0.72377,1
1,1,2,50.1,0.96279,1
1,2,2,70.3,0.80543,1
1,1,2,50.1,1.7692,2
1,1,1,82.7,1.2401,2
1,1,2,50.1,0.58629,1
1,1,1,100,0.87587,3
1,2,2,83.1,0.75698,2
1,1,1,67.4,0.6956,2
1,1,1,76.8,1.0154,3
1,1,1,73.9,0.99946,2
1,2,2,76.9,0.76317,2
1,2,2,67.1,1.1672,1
1,1,1,99.5,0.82799,2
1,2,2,78,0.79784,1
1,1,1,77.8,0.9208,3
1,2,2,89.1,0.99,3
1,1,1,82.4,0.78452,2
1,1,1,77.9,0.9542,3
1,2,2,90.4,0.75791,3
1,1,1,93.4,0.75682,2
1,1,1,88.5,1.1048,3
1,2,2,92.4,0.77257,3
1,2,2,53.5,0.90635,2
1,2,2,100,0.75038,3
1,2,2,71.4,0.84365,3
1,1,1,92.9,0.62862,3
1,2,2,64.2,0.67042,3
1,1,1,88.9,0.66197,2
1,1,2,100,0.71824,1
1,1,1,100,1.1091,2
1,1,2,65.9,1.4665,1
1,2,2,61.1,1.1153,1
1,1,1,89.9,0.77523,3
1,1,1,60.8,1.0518,3
1,2,2,82.1,1.0433,2
1,2,2,60.8,0.88381,1
1,1,1,62,0.84976,1
1,1,1,64.7,0.73959,3
1,2,2,95.4,0.70501,3
1,1,1,68.6,0.76782,3
1,2,2,77.3,0.69987,1
1,1,2,50.1,1.1058,1
1,1,1,61.7,1.0159,2
1,2,2,72.3,0.85066,2
1,2,1,73.4,0.64994,2
1,1,1,75,0.93142,3
1,1,1,82.1,0.9624,2
1,1,1,97.9,0.82072,3
1,1,1,79.2,0.78984,3
1,2,1,58.8,0.93825,1
1,2,1,60.1,1.1013,2
1,1,1,57.2,0.82188,3
1,1,1,64.1,0.59846,2
1,1,1,62.3,0.84639,2
1,2,2,77,0.68697,1
1,2,2,71.9,0.60671,3
1,1,1,80.5,0.65734,2
1,2,2,60.1,0.6974,1
1,2,1,82.8,0.60882,2
1,2,2,76.2,0.72288,3
1,2,2,62.3,0.70375,2
1,1,1,85.2,0.78147,1
1,2,2,97.4,0.65756,3
1,2,2,66.4,0.6189,1
1,2,2,64.6,0.68456,2
1,2,2,55.1,0.94868,1
1,2,1,69.8,0.55267,1
1,2,2,68.8,0.90053,3
1,2,2,88,0.71479,2
1,1,1,61.2,0.75358,3
1,2,1,59.2,0.71774,1
1,2,2,88.7,0.64379,3
1,1,1,79.8,0.71708,3
1,2,2,100,0.69957,3
1,2,2,66,1.3313,2
1,2,2,72.9,0.78458,2
1,2,2,76.7,0.8193,1
1,1,1,89.6,0.72338,1
1,1,1,60.3,1.0425,1
1,2,2,93.9,0.73814,3
1,2,2,80.5,0.85481,2
1,1,1,81.8,0.70483,2
1,2,2,88,0.67803,2
1,2,2,73.4,0.70322,2
1,1,1,97,0.66842,3
1,2,2,81.5,0.66069,1
1,2,2,68.4,0.6456,2
1,1,2,63.7,0.73442,1
1,1,1,66.9,0.78019,1
1,1,1,68.3,0.56681,2
1,2,2,93.6,0.66805,1
1,2,2,67.4,0.77179,1
1,1,2,83.7,0.73637,2
1,1,1,89,0.80325,1
1,1,2,68.4,1.0699,2
1,1,1,86.2,0.98926,2
1,2,2,73.2,1.1527,3
1,1,2,50.1,1.0603,1
1,1,2,65.3,0.84424,1
1,1,1,86.6,0.74928,1
1,2,2,100,0.72982,3
1,1,1,71.8,1.0061,3
1,2,2,99.3,0.71427,2
1,2,2,50.1,1.3495,3
1,1,1,61.2,0.91366,1
1,1,1,72.3,0.67811,3
1,2,1,75.7,1.038,3
1,2,2,100,0.76634,3
1,2,2,78.4,0.76359,3
1,2,2,70,0.67933,1
1,2,2,73,0.59165,3
1,2,2,94.3,0.74769,2
1,1,1,69.4,0.70196,2
1,2,2,98.9,0.60475,3
1,2,2,100,0.61538,3
1,2,2,73.8,0.65097,3
1,2,2,100,0.71625,2
1,1,1,56,1.1865,1
1,2,2,100,0.63561,1
1,1,2,70.2,0.68472,2
1,2,2,64.4,0.66048,1
1,2,2,80.5,0.74059,2
1,2,2,57.1,1.0349,1
1,1,1,60.1,0.81163,1
1,2,2,74.5,0.66963,1
1,2,2,78.8,0.70179,3
1,2,2,73.9,0.73234,2
1,2,2,82.2,0.66597,2
1,1,1,80.7,0.81077,1
1,1,1,51.6,1.5887,1
1,1,1,82.6,0.78382,2
1,2,2,59,1.2508,3
1,2,2,71.7,0.76211,1
1,2,2,71.5,0.82374,1
1,2,2,62.8,0.92029,2
1,2,2,71,0.62207,3
1,2,2,73.2,0.58412,3
1,1,2,69,0.67589,1
1,1,2,65.5,0.77104,1
1,2,2,69.6,1.6154,2
1,2,2,68.5,0.82358,1
1,2,2,97.6,0.96853,3
1,1,1,97.2,0.89318,3
1,1,2,65.3,0.85177,2
1,2,2,80.5,0.69994,2
1,1,1,96.8,0.82714,1
1,2,2,100,0.73304,3
1,2,2,100,0.83347,2
1,1,2,100,0.67628,2
1,1,1,100,0.75589,3
1,1,2,67.7,1.4471,1
1,2,2,97.4,0.8811,1
1,1,2,66.5,0.8888,3
1,2,2,59.2,0.78215,2
1,2,1,69.3,0.52922,2
1,2,2,69.7,0.57644,1
1,1,1,74.1,0.67584,1
1,1,1,74.4,0.67387,3
1,2,2,74.2,0.61751,1
1,2,1,76.3,0.66043,2
1,2,2,71.5,0.63765,1
1,2,1,75.8,0.54301,1
1,1,1,66.8,0.52451,2
1,2,2,81.5,0.7221,2
